MonthStart,Peak_MWh,Offpeak_MWh
2026-01-01,6.697730584022477,7.308966250770189
2026-02-01,6.088910323767851,5.475334928747676
2026-03-01,8.07922001182326,8.046744872554207
2026-04-01,8.136667732295033,6.325949167579663
2026-05-01,8.223688575846694,10.018055764893209
2026-06-01,10.97511651035787,9.931133112395989
2026-07-01,11.912844067661208,9.682565471046443
2026-08-01,7.9444781095890065,7.310163560109957
2026-09-01,5.593639922170018,4.498795509140815
2026-10-01,6.271141533870426,6.505625194336091
2026-11-01,7.195429758506882,7.862196257492917
2026-12-01,6.466388081186987,5.541662171789714
2027-01-01,6.393288284748728,7.60729140386285
2027-02-01,6.088910323767851,5.475334928747676
2027-03-01,8.446457285087954,7.718306306327504
2027-04-01,8.136667732295033,6.325949167579663
2027-05-01,8.223688575846694,10.018055764893209
2027-06-01,10.97511651035787,9.931133112395989
2027-07-01,11.394894325588982,10.094589533644164
2027-08-01,8.322786590998007,7.023490479321331
2027-09-01,5.593639922170018,4.498795509140815
2027-10-01,5.986089645967225,6.771160916553891
2027-11-01,7.538069270816734,7.534604746764046
2027-12-01,6.466388081186987,5.541662171789714
2028-01-01,6.393288284748728,7.60729140386285
2028-02-01,6.393355839956244,5.599774358946487
2028-03-01,8.446457285087954,7.718306306327504
2028-04-01,7.396970665722757,6.876031703890938
2028-05-01,9.006897011641616,9.232325900980015
2028-06-01,10.97511651035787,9.931133112395989
2028-07-01,10.876944583516755,10.506613596241886
2028-08-01,8.701095072407007,6.736817398532705
2028-09-01,5.33938356207138,4.694395313886068
2028-10-01,6.271141533870426,6.505625194336091
2028-11-01,7.538069270816734,7.534604746764046
2028-12-01,5.904093465431597,6.013292994920754
2029-01-01,7.002172883296225,7.010641097677528
2029-02-01,6.088910323767851,5.475334928747676
2029-03-01,8.07922001182326,8.046744872554207
2029-04-01,7.7668191990088955,6.6009904357353
2029-05-01,9.006897011641616,9.232325900980015
2029-06-01,10.476247578068875,10.36292150858712
2029-07-01,11.394894325588982,10.094589533644164
2029-08-01,8.701095072407007,6.736817398532705
2029-09-01,5.085127201972743,4.8899951186313215
2029-10-01,6.556193421773627,6.240089472118291
2029-11-01,7.538069270816734,7.534604746764046
2029-12-01,5.904093465431597,6.013292994920754
2030-01-01,7.002172883296225,7.010641097677528
2030-02-01,6.088910323767851,5.475334928747676
2030-03-01,7.711982738558566,8.375183438780908
2030-04-01,8.136667732295033,6.325949167579663
2030-05-01,9.006897011641616,9.232325900980015
2030-06-01,9.977378645779883,10.79470990477825
2030-07-01,11.912844067661208,9.682565471046443
2030-08-01,8.322786590998007,7.023490479321331
2030-09-01,5.33938356207138,4.694395313886068
2030-10-01,6.556193421773627,6.240089472118291
2030-11-01,7.195429758506882,7.862196257492917
2030-12-01,6.1852407733092925,5.777477583355234
