MonthStart,Peak_MWh,Offpeak_MWh
2026-02-01,7366.0,9822.7
2026-03-01,7584.699999999998,7858.199999999998
2026-04-01,9718.899999999996,6801.300000000002
2026-05-01,7275.899999999998,7665.5
2026-06-01,7344.600000000002,7567.399999999998
2026-07-01,8048.300000000002,7160.199999999998
2026-08-01,3803.199999999999,7024.600000000002
2026-09-01,8085.0,5390.300000000002
2026-10-01,7692.199999999998,6807.399999999998
2026-11-01,7258.600000000002,9492.7
2026-12-01,6477.199999999998,6478.0
2027-01-01,6108.399999999999,8438.600000000004
2027-02-01,6489.600000000001,7354.0
2027-03-01,6484.800000000002,5203.9
2027-04-01,6918.800000000002,6302.199999999998
2027-05-01,5034.300000000002,8602.0
2027-06-01,6823.300000000002,7956.600000000002
2027-07-01,6775.800000000002,6649.399999999998
2027-08-01,5813.5,6176.199999999998
2027-09-01,6229.399999999999,8100.300000000002
2027-10-01,5029.9,7415.800000000002
2027-11-01,9663.0,8926.0
2027-12-01,8424.800000000001,7314.0
2028-01-01,7014.699999999998,9893.8
2028-02-01,7783.199999999998,9345.199999999999
2028-03-01,8877.399999999996,8380.800000000001
2028-04-01,5534.699999999998,8179.300000000002
2028-05-01,6434.399999999999,8580.600000000004
2028-06-01,8661.100000000004,6633.199999999998
2028-07-01,6529.899999999999,7184.899999999998
2028-08-01,6054.399999999999,7344.5
2028-09-01,6357.300000000002,7435.300000000002
2028-10-01,7791.600000000002,8102.100000000002
2028-11-01,7789.5,7958.199999999998
2028-12-01,7328.300000000002,8007.899999999998
2029-01-01,8372.5,8487.699999999999
2029-02-01,5834.300000000002,7376.199999999998
2029-03-01,7124.399999999998,7293.600000000002
2029-04-01,7425.899999999998,7992.100000000002
2029-05-01,7955.800000000002,6999.800000000002
2029-06-01,6393.300000000002,8467.199999999999
2029-07-01,5993.5,7792.699999999998
2029-08-01,6938.899999999998,8282.399999999998
2029-09-01,4670.599999999999,6226.0
2029-10-01,8371.399999999998,5899.300000000002
2029-11-01,8372.699999999999,7956.899999999998
2029-12-01,8260.0,8452.899999999996
2030-01-01,6413.300000000002,9314.399999999996
2030-02-01,7963.699999999998,6390.199999999998
2030-03-01,8344.600000000002,11105.0
2030-04-01,8814.899999999996,7932.399999999998
2030-05-01,7259.199999999998,7550.399999999998
2030-06-01,7615.399999999998,6512.899999999999
2030-07-01,6833.0,5522.0
2030-08-01,7990.5,6711.5
2030-09-01,6975.199999999998,5533.5
2030-10-01,5663.600000000001,7990.5
2030-11-01,8536.0,6610.199999999998
2030-12-01,7604.199999999998,9096.899999999996
